date,nifty_w1_pcr,nifty_w2_pcr,nifty_pcr_delta,nifty_w1_net_delta,nifty_w2_net_delta,nifty_delta_delta,nifty_w1_iv_skew,nifty_w2_iv_skew,nifty_w1_oi_call,nifty_w1_oi_put,nifty_w2_oi_call,nifty_w2_oi_put,nifty_w2_oi_change_call,nifty_w2_oi_change_put,nifty_spot_move_w1,nifty_spot_move_w2,nifty_w2_spot_close,nifty_w2_max_pain,nifty_spot_vs_maxpain,bnf_w1_pcr,bnf_w2_pcr,bnf_pcr_delta,bnf_w1_net_delta,bnf_w2_net_delta,bnf_delta_delta,bnf_w1_iv_skew,bnf_w2_iv_skew,bnf_w1_oi_call,bnf_w1_oi_put,bnf_w2_oi_call,bnf_w2_oi_put,bnf_w2_oi_change_call,bnf_w2_oi_change_put,bnf_spot_move_w1,bnf_spot_move_w2,bnf_w2_spot_close,bnf_w2_max_pain,bnf_spot_vs_maxpain,pcr_agreement,delta_agreement,days_to_expiry,is_expiry_eve,day_of_week,btst_signal_fired,btst_direction,btst_confidence,vix_regime,nifty_5day_momentum,prev_day_gap_pts,prev_5day_ml_accuracy
2023-04-12,1.0773833804763544,1.0029342398560228,-0.0744491406203315,2891857.595347494,5736405.323831135,2844547.7284836406,-0.6007960000000008,2.837325,89355750.0,96270400.0,85013500.0,85262950.0,-4033450.0,-9401650.0,0.3487864139318462,0.0989038818093407,17812.25,17800.0,0.0006877289505817,1.0899833062733233,0.9623316766714548,-0.1276516296018686,1052802.050627791,3238752.251897239,2185950.201269448,1.053077,3.294903999999999,38232925.0,41673250.0,35870325.0,34519150.0,-2175175.0,-6817000.0,0.2961631067697785,0.0883908066740192,41555.9492,41500.0,0.001346358369309,0,1,6,0,2,0,0,0.0,0,0.0229140282670633,4.65,1.0
2023-04-17,0.7655905546115976,0.7656898596040215,9.930499242383206e-05,-1377930.9852623502,2769020.701606974,4146951.686869324,-1.913373,0.5591980000000003,74597250.0,57110950.0,71223550.0,54535150.0,-3357150.0,-2654550.0,-0.0788014746064553,0.1331475173495831,17711.3008,17700.0,0.0006380559015744,0.8889168707087556,0.8549466754246597,-0.0339701952840958,3285089.361766438,3860616.239965531,575526.878199093,0.0254539999999998,0.6228889999999989,28987075.0,25767100.0,26718450.0,22842850.0,-2281125.0,-2576625.0,0.1528456470413759,0.1390061536445733,42289.3516,42100.0,0.0044775243137093,1,1,1,1,0,0,0,0.0,0,0.0067725799112394,-134.85,1.0
2023-04-18,0.5847935824951411,0.645607171634339,0.0608135891391978,1638474.430892373,1114678.4386956156,-523795.99219675735,-1.1098680000000003,-1.998362,90452600.0,52896100.0,84019900.0,54243850.0,-5800550.0,1222300.0,-0.5154109453858439,0.0793556340652333,17656.0996,17700.0,-0.0024864155161425,0.6877288806249362,0.7927910458847583,0.1050621652598221,2610686.763632314,1074943.1710888972,-1535743.592543417,0.8667429999999996,-1.7274190000000011,35280400.0,24263350.0,31974125.0,25348800.0,-2375900.0,-174150.0,-0.2019338336468039,-0.0407127171598223,42237.8984,42200.0,0.000897260551202,1,1,0,0,1,0,0,0.0,0,0.0019709222754951,22.2,1.0
2023-04-19,0.6764091651006396,0.6498439471412445,-0.0265652179593951,3374689.0102298586,9335288.635056498,5960599.624826639,1.0269209999999998,1.282515,110922950.0,75029300.0,106165950.0,68991300.0,-4708500.0,-6422350.0,-0.1975948109339991,0.1508278796695694,17628.5996,17650.0,-0.0012139591621332,0.7464806939009682,0.7028505649106076,-0.0436301289903605,1689327.2285034088,4470824.67715107,2781497.448647661,2.2380190000000013,1.8855549999999983,48542950.0,36236375.0,46084725.0,32390675.0,-2549150.0,-3934450.0,-0.3837109026232753,0.1572091476881492,42175.1992,42100.0,0.0017830194385899,1,1,6,0,2,1,-1,0.905,0,-0.0056471190144903,-19.2,1.0
2023-04-20,0.7731643297144607,0.7048617158677847,-0.068302613846676,4640643.766450568,3096776.922594788,-1543866.8438557803,4.082864999999998,20.435990000000004,117532000.0,90871550.0,88419400.0,62323450.0,-26331300.0,-27164400.0,-0.0567569101538112,0.143104094497127,17634.1992,17600.0,0.0019393679073331,0.8092379066795445,0.7224263970725464,-0.0868115096069981,2923673.7494264888,3061784.1820197515,138110.43259326275,5.813005999999998,14.645461,69524950.0,56262225.0,60011200.0,43353675.0,-9545000.0,-13411450.0,0.2207447797847228,0.1648329880152645,42292.6992,42200.0,0.0021918487529403,1,1,5,0,3,1,-1,0.7885,2,-0.0100969030677617,-9.6,1.0
2023-04-21,0.8138396321813963,0.7609847667937366,-0.0528548653876597,75641.381744819,1557479.8259002652,1481838.4441554465,-0.0839619999999996,-0.2893559999999997,84204550.0,68529000.0,82303750.0,62631900.0,-1787850.0,-5732350.0,-0.2045077265461297,0.0945194264147136,17632.5,17650.0,-0.000992485467177,0.6879659465453529,0.6488732628403618,-0.039092683704991,2388113.5065480955,2907240.5250381404,519127.01849004487,1.746352,1.4026499999999995,32554700.0,22396525.0,31293900.0,20305775.0,-1318925.0,-1936650.0,-0.4820939508747454,0.0516240194984705,42153.3008,42100.0,0.00126445139499,1,1,4,0,4,1,-1,0.7717,0,-0.0115724259180491,17.75,1.0
2023-05-03,0.7359072164279844,0.7458898946821296,0.0099826782541452,8566999.619276622,9558357.599873442,991357.98059682,-0.5853799999999989,-1.286465999999999,107932900.0,79428600.0,100429300.0,74909200.0,-5945050.0,-4872000.0,0.0013826438873396,0.0909723905832403,18098.0,18050.0,0.0026522267653884,0.9920934480010312,0.9401508151191964,-0.0519426328818348,1115520.9024510984,2991942.496937665,1876421.5944865667,-0.5190999999999981,2.204763,41310675.0,40984050.0,38742800.0,36424075.0,-2100800.0,-4235350.0,0.2877463107175534,0.1652443710025017,43340.75,43200.0,0.0032475210973506,1,1,6,0,2,0,0,0.0,0,0.0177643938556746,-61.65,1.0
2023-05-04,1.0239974295832903,1.0066903459929568,-0.0173070835903335,9743523.293356497,-8357305.698960643,-18100828.99231714,-1.649081000000001,11.809532,104263250.0,106765300.0,79211150.0,79741100.0,-24693000.0,-26219850.0,0.7083098602452318,0.273430110710606,18263.150391,18200.0,0.0034578038097479,0.9028615656772462,0.9077782499525546,0.0049166842753084,5280612.474705712,-4024134.6834213054,-9304747.158127015,-7.34769,18.06301,66731825.0,60249600.0,45710475.0,41494975.0,-20369725.0,-17806975.0,0.4982540989426725,0.4661438029103126,43719.800781,43600.0,0.0027401950342843,0,1,5,0,3,0,0,0.0,0,0.0244618251197316,-12.75,1.0
2023-05-09,0.7808607930564834,0.8061144125022998,0.0252536194458163,5242723.196506622,7256263.83266993,2013540.6361633083,-0.4434959999999996,0.1323659999999993,86895450.0,67853250.0,86150550.0,69447200.0,-709950.0,1074850.0,-0.2728295188499194,0.0572312137552923,18268.349609,18250.0,0.001004448096995,0.7109113256120378,0.6840885203387309,-0.0268228052733069,738859.0215569267,1042498.4309522108,303639.409395284,0.1330020000000011,-0.4246160000000003,40660275.0,28905850.0,40507075.0,27710425.0,-1393675.0,-196075.0,-0.5023944577197235,-0.0463676374304468,43223.0,43300.0,-0.0017814589454688,1,1,0,0,1,0,0,0.0,0,0.0068643524283235,41.75,1.0
2023-05-10,0.798637825231172,0.8503103494483412,0.0516725242171691,10121135.496276457,9649043.435350206,-472092.0609262511,0.4453239999999994,0.842277000000001,103591700.0,82732250.0,94401650.0,80270700.0,-9187300.0,-2272500.0,-0.0475490578155437,0.1796380869930305,18319.400391,18250.0,0.0037883549416876,0.7990734829117945,0.7960734489517791,-0.0030000339600153,3766971.1617736383,4333618.691732228,566647.5299585895,1.2429270000000017,-0.095134999999999,47889025.0,38266850.0,42522050.0,33850675.0,-6008150.0,-2939625.0,-0.0271605332892821,0.20797723300173,43339.5,43200.0,0.0032187727131139,1,1,6,0,2,0,0,0.0,0,0.0120855697388856,26.9,1.0
2023-05-12,0.8774923945880189,0.9048720194859016,0.0273796248978827,3743880.6720936177,2288411.126199294,-1455469.5458943238,2.9901160000000004,3.528606,56637300.0,49698800.0,55137300.0,49892200.0,-1481900.0,182550.0,0.5007749136836354,-0.0932722904052843,18315.900391,18300.0,0.0008681195387922,1.0670669892344002,1.0873450522161283,0.020278062981728,2231030.520770688,2394177.8512629247,163147.33049223665,4.3331800000000005,5.355312,25400350.0,27103875.0,25248425.0,27453750.0,-437625.0,322825.0,1.0518094264914573,-0.1377139355762319,43797.5,43600.0,0.0045093898053541,0,1,4,0,4,0,0,0.0,0,0.0133190925257418,-57.3,1.0
2023-05-16,0.7071313070440159,0.6643269388645601,-0.0428043681794558,420990.74625311024,-4999176.908352496,-5420167.654605607,-1.710535,-1.6487220000000011,86950400.0,61485350.0,88920600.0,59072350.0,1936250.0,-2497200.0,-0.3177062100828956,-0.3045414020900676,18283.2,18350.0,-0.0036536273737638,0.9353502176172536,0.9198914118749724,-0.0154588057422812,2442913.738745784,-351198.0971102286,-2794111.8358560125,1.0018659999999997,1.6187869999999993,36945600.0,34557075.0,32701550.0,30081875.0,-4086550.0,-1435575.0,0.1038940962236755,-0.3386112170927259,43883.7,43900.0,-0.00037143631918,1,1,0,0,1,0,0,0.0,0,0.0008122424411481,7.5,1.0
